Suburb,Distance,Lattitude,Longtitude,Price,,,
Abbotsford,2.5,-37.7996,144.9984,1480000,,,
Abbotsford,2.5,-37.8079,144.9934,1035000,,,
Abbotsford,2.5,-37.8093,144.9944,1465000,,,
Abbotsford,2.5,-37.7969,144.9969,850000,,,
Abbotsford,2.5,-37.8072,144.9941,1600000,,,
Abbotsford,2.5,-37.8041,144.9953,941000,,,
Abbotsford,2.5,-37.8024,144.9993,1876000,,,
Abbotsford,2.5,-37.806,144.9954,1636000,,,
Abbotsford,2.5,-37.8008,144.9973,300000,,,
Abbotsford,2.5,-37.801,144.9989,1097000,,,
Abbotsford,2.5,-37.811,145.0067,700000,,,
Abbotsford,2.5,-37.8085,144.9964,1350000,,,
Abbotsford,2.5,-37.8078,144.9965,750000,,,
Abbotsford,2.5,-37.8084,144.9973,1172500,,,
Abbotsford,2.5,-37.8016,144.9988,441000,,,
Abbotsford,2.5,-37.809,144.9976,1310000,,,
Abbotsford,2.5,-37.8056,144.993,1200000,,,
Abbotsford,2.5,-37.8021,144.9965,1176500,,,
Abbotsford,2.5,-37.8022,144.9975,955000,,,
Abbotsford,2.5,-37.8011,145.0004,890000,,,
Abbotsford,2.5,-37.8073,144.9952,1330000,,,
Abbotsford,2.5,-37.8093,144.9959,900000,,,
Abbotsford,2.5,-37.8078,144.9965,1090000,,,
Abbotsford,2.5,-37.8015,144.9972,500000,,,
Abbotsford,2.5,-37.8079,144.9977,1100000,,,
Abbotsford,2.5,-37.808,144.994,1315000,,,
Abbotsford,2.5,-37.8016,144.9988,426000,,,
Abbotsford,2.5,-37.8017,145.0001,1447500,,,
Abbotsford,2.5,-37.8078,144.9965,457000,,,
Abbotsford,2.5,-37.8005,144.9952,1135000,,,
Abbotsford,2.5,-37.7994,144.9965,1542000,,,
Abbotsford,2.5,-37.805,144.9943,1290000,,,
Abbotsford,2.5,-37.8007,144.9958,1290000,,,
Abbotsford,2.5,-37.8055,144.9961,470000,,,
Abbotsford,2.5,-37.8016,144.9956,1180000,,,
Abbotsford,2.5,-37.8022,144.9954,1195000,,,
Abbotsford,2.5,-37.8021,144.9976,1012500,,,
Abbotsford,2.5,-37.8086,144.9946,1030000,,,
Airport West,13.5,-37.718,144.878,840000,,,
Airport West,13.5,-37.7203,144.8755,730000,,,
Airport West,13.5,-37.7203,144.8755,770000,,,
Airport West,13.5,-37.7294,144.888,603000,,,
Airport West,13.5,-37.7218,144.8837,700000,,,
Airport West,13.5,-37.7273,144.8744,600000,,,
Airport West,13.5,-37.7215,144.8864,500000,,,
Airport West,13.5,-37.7173,144.8872,720000,,,
Airport West,13.5,-37.7259,144.8792,785000,,,
Airport West,13.5,-37.7239,144.8735,725000,,,
Airport West,13.5,-37.7216,144.871,450000,,,
Airport West,13.5,-37.7298,144.8883,515000,,,
Airport West,13.5,-37.7234,144.8792,530000,,,
Airport West,13.5,-37.7249,144.8728,895000,,,
Airport West,13.5,-37.7217,144.8783,805000,,,
Airport West,13.5,-37.7302,144.8855,752000,,,
Airport West,13.5,-37.7177,144.8787,440000,,,
Airport West,13.5,-37.7248,144.8699,755000,,,
Airport West,13.5,-37.727,144.887,700000,,,
Airport West,13.5,-37.7186,144.876,830000,,,
Airport West,13.5,-37.7218,144.8863,462500,,,
Airport West,13.5,-37.7269,144.8742,670000,,,
Airport West,13.5,-37.7187,144.8765,675000,,,
Airport West,13.5,-37.7173,144.8796,1042000,,,
Airport West,13.5,-37.7231,144.8835,910000,,,
Airport West,13.5,-37.7263,144.8679,773000,,,
Airport West,13.5,-37.7285,144.8694,810000,,,
Airport West,13.5,-37.7164,144.8792,715000,,,
Airport West,13.5,-37.7194,144.8827,790000,,,
Airport West,13.5,-37.7231,144.8802,540000,,,
Airport West,13.5,-37.72,144.8776,825000,,,
Airport West,13.5,-37.7226,144.8733,685000,,,
Airport West,13.5,-37.7184,144.882,805000,,,
Airport West,13.5,-37.7202,144.8797,510000,,,
Airport West,13.5,-37.7181,144.8824,612000,,,
Airport West,13.5,-37.7169,144.8815,662000,,,
Airport West,13.5,-37.7263,144.869,978000,,,
Airport West,13.5,-37.72,144.878,720000,,,
Airport West,13.5,-37.7261,144.8785,765000,,,
Airport West,13.5,-37.7256,144.8739,900000,,,
Albert Park,3.3,-37.8459,144.9555,1275000,,,
Albert Park,3.3,-37.845,144.9538,1455000,,,
Albert Park,3.3,-37.8481,144.9499,2850000,,,
Albert Park,3.3,-37.8452,144.9488,1850000,,,
Albert Park,3.3,-37.8431,144.9565,1436000,,,
Albert Park,3.3,-37.8444,144.9484,1110000,,,
Albert Park,3.3,-37.8405,144.9521,1550000,,,
Albert Park,3.3,-37.8447,144.9523,2300000,,,
Albert Park,3.3,-37.8443,144.9598,1550000,,,
Albert Park,3.3,-37.8415,144.952,1800000,,,
Albert Park,3.3,-37.8422,144.9554,2120000,,,
Albert Park,3.3,-37.8443,144.9579,1800000,,,
Albert Park,3.3,-37.8421,144.9571,1800000,,,
Albert Park,3.3,-37.8379,144.9539,1810000,,,
Albert Park,3.3,-37.8415,144.9585,2615000,,,
Albert Park,3.3,-37.8436,144.9557,2100000,,,
Albert Park,3.3,-37.8422,144.949,1300000,,,
Albert Park,3.3,-37.8451,144.9511,1370000,,,
Albert Park,3.3,-37.8407,144.9523,1000000,,,
Albert Park,3.3,-37.8445,144.9501,2575000,,,
Albert Park,3.3,-37.8443,144.9481,1322500,,,
Albert Park,3.3,-37.8424,144.9562,1562500,,,
Albert Park,3.3,-37.847,144.9575,2000000,,,
Albert Park,3.3,-37.8468,144.9546,1900000,,,
Albert Park,3.3,-37.8473,144.9551,3010000,,,
Albert Park,3.3,-37.8467,144.9475,2800000,,,
Albert Park,3.3,-37.846,144.9542,647000,,,
Albert Park,3.3,-37.8427,144.9546,2100000,,,
Albert Park,3.3,-37.8461,144.9528,2000000,,,
Albert Park,3.3,-37.8421,144.9517,442500,,,
Albert Park,3.3,-37.8477,144.9558,4735000,,,
Albert Park,3.3,-37.846,144.9517,1340000,,,
Albert Park,3.3,-37.8429,144.9493,1801000,,,
Albert Park,3.3,-37.8415,144.9585,1532000,,,
Albert Park,3.3,-37.8413,144.95,3755000,,,
Albert Park,3.3,-37.8434,144.9495,2140000,,,
Albert Park,3.3,-37.8416,144.9488,1750000,,,
Albert Park,3.3,-37.8387,144.9519,980000,,,
Albert Park,3.3,-37.8488,144.9551,2030000,,,
