Area, Income ,,,,
Alfredton," 58,316 ",,,,
Ballarat," 55,618 ",,,,
Buninyong," 55,278 ",,,,
Delacombe," 53,390 ",,,,
Smythes Creek," 55,423 ",,,,
Wendouree - Miners Rest," 49,209 ",,,,
Ballarat East - Warrenheip," 49,244 ",,,,
Ballarat North - Invermay," 57,302 ",,,,
Canadian - Mount Clear," 50,715 ",,,,
Sebastopol - Redan," 46,099 ",,,,
Bacchus Marsh Surrounds," 55,574 ",,,,
Creswick - Clunes," 46,391 ",,,,
Daylesford," 43,779 ",,,,
Gordon (Vic.)," 53,887 ",,,,
Avoca," 41,115 ",,,,
Beaufort," 45,830 ",,,,
Golden Plains - North," 48,850 ",,,,
Maryborough (Vic.)," 42,058 ",,,,
Maryborough Surrounds," 39,814 ",,,,
Bendigo," 50,674 ",,,,
California Gully - Eaglehawk," 48,961 ",,,,
East Bendigo - Kennington," 51,650 ",,,,
Flora Hill - Spring Gully," 51,562 ",,,,
Kangaroo Flat - Golden Square," 49,519 ",,,,
Maiden Gully," 56,983 ",,,,
Strathfieldsaye," 59,973 ",,,,
White Hills - Ascot," 55,439 ",,,,
Bendigo Surrounds - South," 55,416 ",,,,
Castlemaine," 45,813 ",,,,
Castlemaine Surrounds," 45,103 ",,,,
Heathcote," 47,244 ",,,,
Kyneton," 52,864 ",,,,
Woodend," 59,961 ",,,,
Bendigo Surrounds - North," 50,636 ",,,,
Loddon," 43,980 ",,,,
Bannockburn," 58,081 ",,,,
Golden Plains - South," 53,168 ",,,,
Winchelsea," 51,842 ",,,,
Belmont," 53,949 ",,,,
Geelong," 55,922 ",,,,
Geelong West - Hamlyn Heights," 61,219 ",,,,
Highton," 57,671 ",,,,
Lara," 58,531 ",,,,
Leopold," 52,438 ",,,,
Newcomb - Moolap," 47,501 ",,,,
Newtown (Vic.)," 64,024 ",,,,
North Geelong - Bell Park," 52,646 ",,,,
Charlemont," 59,449 ",,,,
Corio - Lovely Banks," 47,419 ",,,,
Grovedale - Mount Duneed," 54,344 ",,,,
Norlane," 42,085 ",,,,
Clifton Springs," 50,000 ",,,,
Lorne - Anglesea," 44,994 ",,,,
Portarlington," 43,411 ",,,,
Point Lonsdale - Queenscliff," 48,873 ",,,,
Torquay," 59,645 ",,,,
Barwon Heads - Armstrong Creek," 60,288 ",,,,
Ocean Grove," 54,575 ",,,,
Alexandra," 43,356 ",,,,
Euroa," 44,097 ",,,,
Kilmore - Broadford," 54,311 ",,,,
Mansfield (Vic.)," 41,574 ",,,,
Nagambie," 51,076 ",,,,
Seymour," 47,273 ",,,,
Seymour Surrounds," 57,634 ",,,,
Upper Yarra Valley," 43,010 ",,,,
Yea," 42,809 ",,,,
Benalla," 46,425 ",,,,
Benalla Surrounds," 44,259 ",,,,
Rutherglen," 51,130 ",,,,
Wangaratta," 50,009 ",,,,
Wangaratta Surrounds," 47,812 ",,,,
Beechworth," 49,233 ",,,,
Bright - Mount Beauty," 42,701 ",,,,
Chiltern - Indigo Valley," 51,970 ",,,,
Myrtleford," 46,554 ",,,,
Towong," 47,488 ",,,,
West Wodonga," 54,135 ",,,,
Yackandandah," 54,173 ",,,,
Baranduda - Leneva," 61,027 ",,,,
Wodonga," 49,906 ",,,,
Drouin," 50,060 ",,,,
Mount Baw Baw Region," 46,017 ",,,,
Trafalgar (Vic.)," 49,147 ",,,,
Warragul," 52,200 ",,,,
Alps - East, np ,,,,
Bairnsdale," 46,466 ",,,,
Bruthen - Omeo," 44,982 ",,,,
Lake King, np ,,,,
Lakes Entrance," 37,849 ",,,,
Orbost," 38,243 ",,,,
Paynesville," 40,853 ",,,,
Foster," 40,798 ",,,,
French Island," 25,068 ",,,,
Korumburra," 46,594 ",,,,
Leongatha," 46,567 ",,,,
Phillip Island," 39,420 ",,,,
Wilsons Promontory," 62,022 ",,,,
Wonthaggi - Inverloch," 43,268 ",,,,
Churchill," 51,215 ",,,,
Moe - Newborough," 47,220 ",,,,
Morwell," 42,214 ",,,,
Yallourn North - Glengarry," 56,295 ",,,,
Traralgon - East," 53,107 ",,,,
Traralgon - West," 57,777 ",,,,
Alps - West," 36,311 ",,,,
Longford - Loch Sport," 46,497 ",,,,
Maffra," 48,427 ",,,,
Rosedale," 48,742 ",,,,
Sale," 50,185 ",,,,
Yarram," 41,427 ",,,,
Brunswick East," 72,010 ",,,,
Brunswick West," 63,478 ",,,,
Pascoe Vale South," 65,771 ",,,,
Brunswick - North," 65,415 ",,,,
Brunswick - South," 69,040 ",,,,
Coburg - East," 59,723 ",,,,
Coburg - West," 64,080 ",,,,
Alphington - Fairfield," 69,199 ",,,,
Thornbury," 67,597 ",,,,
Northcote - East," 72,223 ",,,,
Northcote - West," 74,635 ",,,,
Ascot Vale," 69,847 ",,,,
Flemington," 58,481 ",,,,
Moonee Ponds," 70,516 ",,,,
Essendon (West) - Aberfeldie," 66,027 ",,,,
Essendon - East," 68,651 ",,,,
Carlton," 35,484 ",,,,
Docklands," 62,393 ",,,,
East Melbourne," 83,194 ",,,,
Flemington Racecourse," 65,880 ",,,,
Kensington (Vic.)," 76,471 ",,,,
Parkville," 48,184 ",,,,
South Yarra - West," 79,790 ",,,,
West Melbourne - Industrial," 31,259 ",,,,
Melbourne CBD - East," 43,738 ",,,,
Melbourne CBD - North," 29,779 ",,,,
Melbourne CBD - West," 42,308 ",,,,
North Melbourne," 53,274 ",,,,
Royal Botanic Gardens Victoria," 32,275 ",,,,
Southbank (West) - South Wharf," 61,101 ",,,,
Southbank - East," 58,738 ",,,,
West Melbourne - Residential," 53,899 ",,,,
Albert Park," 75,006 ",,,,
Elwood," 76,583 ",,,,
Port Melbourne," 83,408 ",,,,
St Kilda East," 67,570 ",,,,
Port Melbourne Industrial," 66,595 ",,,,
South Melbourne," 74,388 ",,,,
St Kilda - Central," 66,906 ",,,,
St Kilda - West," 65,005 ",,,,
Armadale," 77,770 ",,,,
Prahran - Windsor," 75,876 ",,,,
Toorak," 81,240 ",,,,
South Yarra - North," 73,288 ",,,,
South Yarra - South," 74,786 ",,,,
Abbotsford," 73,676 ",,,,
Carlton North - Princes Hill," 67,036 ",,,,
Collingwood," 75,018 ",,,,
Fitzroy," 71,608 ",,,,
Fitzroy North," 73,738 ",,,,
Clifton Hill - Alphington," 81,391 ",,,,
Richmond (South) - Cremorne," 85,511 ",,,,
Richmond - North," 71,569 ",,,,
Ashburton (Vic.)," 69,169 ",,,,
Balwyn," 52,023 ",,,,
Balwyn North," 54,557 ",,,,
Camberwell," 66,294 ",,,,
Glen Iris - East," 71,436 ",,,,
Hawthorn East," 71,959 ",,,,
Kew East," 62,251 ",,,,
Surrey Hills (West) - Canterbury," 67,302 ",,,,
Hawthorn - North," 72,083 ",,,,
